Route ID,Driver ID,Manifest,Delivery Duration (hours),Date,Fuel Price per Gallon (USD),Actual Distance (miles),Planned Distance (miles),Weather Conditions,Driver Ratings,Customer Satisfaction,Delays (hours),Warehouse Storage Costs (USD),Truck Maintenance Costs (USD),Load Type,Load Weight (tons),Route Type,Truck Type,Driver Experience,Delivery Window,Truck Condition,Labor Costs (USD),Fuel Type,Toll Costs (USD),Parking Costs (USD),Time Idling (hours),Miles per Gallon,Calculated Fuel Cost (USD),Idle Cost (USD),Fuel Cost Per Mile,Total Operational Cost (USD),Weather Severity,Weather Severity Score,Cost per Mile,Cost per Ton-Mile,Delivery Efficiency,Route Length,Severe Weather,Weather Severity Index,Fuel Cost per Mile,Performance Score,Driver Consistency Score,Traffic Conditions_Heavy,Traffic Conditions_Light,Traffic Conditions_Moderate,Traffic Conditions_Severe,On-Time Delivery,Driver Experience Level,Experience on Long Routes
MIA/BNA,BC7706,3815805,6.25,2023-02-28,4.0,1690.79,862.13,Snow,3.35,4,4.71,131.14,529.07,Perishable,15.17,Interstate,Box Truck,Senior,Overnight,4,88.15,Gasoline,14.42,21.0,0.46,7.03,962.65,0.93,0.57,1659.22,,,0.5693492391130773,0.06468874455105167,270.52639999999997,Long,0,3,0.5693492391130773,0.44637954165093185,4.71,False,False,True,False,0,3,3
PHX/MCO,ZN7236,7299049,5.67,2023-10-29,3.5,2693.86,1970.77,Heavy Rain,4.1,1,1.69,174.54,753.16,Perishable,2.85,Interstate,Flatbed,Junior,Morning,5,90.97,Gasoline,39.82,7.16,1.65,7.48,1259.91,2.89,0.47,2237.47,,,0.4676969107526004,0.29143206884636025,475.1075837742505,Long,0,2,0.4676969107526004,0.2532860900451767,1.69,False,False,True,False,0,1,1
MCO/MIA,AW5182,9497986,1.31,2023-09-14,4.0,925.07,1337.27,Heavy Rain,3.9,4,3.83,72.2,1297.5,Perishable,6.63,Interstate,Flatbed,Junior,Morning,1,116.8,Diesel,24.93,10.3,0.83,7.76,476.54,1.66,0.52,1883.15,,,0.5151393948566054,0.30704129503648014,706.1603053435115,Long,0,2,0.5151393948566054,0.546588223306581,3.83,True,False,False,False,0,1,1
MIA/DCA,XY7077,7232797,2.38,2023-12-31,4.5,660.51,1833.61,Heavy Rain,1.52,2,2.13,132.06,1938.61,Oversized,13.1,Suburban,Box Truck,Intermediate,Evening,4,59.63,Gasoline,22.28,8.18,0.68,6.83,435.5,1.53,0.66,2538.15,,,0.6593389956245931,0.2933368282038827,277.52521008403363,Long,0,2,0.6593389956245931,0.3850796235534919,2.13,False,False,True,False,0,2,2
LAS/SAN,HJ7731,2201569,1.24,2023-05-02,4.5,1135.09,428.03,Snow,4.88,2,0.73,132.09,1334.08,Standard,18.24,Interstate,Box Truck,Intermediate,Afternoon,2,117.52,Gasoline,37.74,12.98,0.67,7.84,651.6,1.5,0.57,2169.99,,,0.5740513968055397,0.10480997101551419,915.3951612903226,Long,0,3,0.5740513968055397,0.7344546477377015,0.73,False,True,False,False,1,2,2
ATL/ORD,GK3142,3915029,9.98,2023-11-26,4.0,1635.26,2496.25,Light Rain,2.23,2,2.78,63.13,1320.69,Standard,15.38,Urban,Box Truck,Intermediate,Overnight,5,81.93,Diesel,26.16,19.07,1.05,7.52,869.25,2.11,0.53,2300.42,,,0.5315668456392255,0.0914669053554147,163.85370741482964,Long,0,1,0.5315668456392255,0.34546355623133124,2.78,True,False,False,False,0,2,2
BOS/DTW,ZQ8780,5460979,1.98,2023-03-01,4.5,2132.8,2737.64,Fog,2.75,4,0.89,194.65,866.17,Perishable,15.8,Interstate,Box Truck,Junior,Evening,3,42.67,Gasoline,11.0,13.94,0.09,7.52,1275.83,0.21,0.6,2361.8,,,0.5981948612153037,0.07008674637013683,1077.1717171717173,Long,0,2,0.5981948612153037,1.324245351904558,0.89,False,True,False,False,1,1,1
CLE/BOS,NL5087,2979273,1.97,2023-12-30,4.5,432.61,2292.67,Fog,2.58,4,0.14,103.54,1212.28,Standard,12.0,Suburban,Box Truck,Junior,Morning,1,137.05,Diesel,34.62,28.98,1.14,6.88,282.96,2.57,0.65,1664.95,,,0.6540764198700908,0.32071804473621357,219.5989847715736,Long,0,2,0.6540764198700908,2.1212876791388733,0.14,True,False,False,False,1,1,1
SAN/BNA,RT9010,3448151,3.37,2023-09-10,3.5,2724.44,1288.79,Light Rain,3.31,1,1.69,107.32,1965.19,Perishable,2.61,Urban,Semi,Intermediate,Overnight,5,194.42,Diesel,42.38,4.39,0.46,6.25,1524.74,0.8,0.56,3644.83,,,0.5596526258607273,0.5125774801567714,808.4391691394659,Long,0,1,0.5596526258607273,0.23835257013769606,1.69,False,True,False,False,0,2,2
BOS/DTW,KV7354,5090739,4.99,2023-09-29,4.5,1362.98,483.08,Heavy Rain,1.47,4,0.72,113.87,1009.93,Perishable,19.27,Suburban,Semi,Senior,Evening,4,123.63,Diesel,5.2,14.83,1.48,7.21,850.95,3.33,0.62,1998.12,,,0.6243305110860028,0.076076472838679,273.14228456913827,Long,0,2,0.6243305110860028,1.4317168701054495,0.72,False,True,False,False,1,3,3
